variable,strongest_category,category_rows,category_avg_score,score_lift_vs_average,global_avg_score,abs_score_lift
Lineup Status,Starter,8128,53.23267716535433,26.58171203268689,26.65096513266744,26.58171203268689
Opponent Club,St. Johnstone FC,65,50.378461538461536,23.727496405794096,26.65096513266744,23.727496405794096
Team Formation,3-5-2 Attacking,60,45.575,18.924034867332562,26.65096513266744,18.924034867332562
Result,W,7960,41.972989949748744,15.322024817081303,26.65096513266744,15.322024817081303
Fixture Difficulty Label,Very easy,2860,41.422902097902096,14.771936965234655,26.65096513266744,14.771936965234655
Matched Club,The Celtic Football Club,1374,41.2051673944687,14.554202261801262,26.65096513266744,14.554202261801262
Home Away,Home,7246,39.24463152083908,12.593666388171638,26.65096513266744,12.593666388171638
Position,Goalkeeper,3971,14.938227146814404,-11.712737985853037,26.65096513266744,11.712737985853037
Club,FC Red Bull Salzburg,2479,22.652359822509077,-3.9986053101583643,26.65096513266744,3.9986053101583643
Selected Club,FC Red Bull Salzburg,2479,22.652359822509077,-3.9986053101583643,26.65096513266744,3.9986053101583643
Score Scope,Whole player history since 2024-08-01,32638,26.65096513266744,0.0,26.65096513266744,0.0
