variable,max_abs_coefficient,mean_abs_coefficient,strongest_encoded_feature,strongest_coefficient
Lineup Status,19.51733179097018,13.01155452749228,Lineup Status_Starter,19.51733179097018
Matched Club,10.167517702783208,3.2379751501424034,Matched Club_Fußballclub Red Bull Salzburg,10.167517702783208
Position,5.064983770256425,2.5324918851424463,Position_Goalkeeper,-5.064983770256425
Had Goal Contribution,3.3889038977360326,3.3889038977360326,Had Goal Contribution,3.3889038977360326
Team Formation,3.3793605422409585,1.0047767802983107,Team Formation_4-4-2 Diamond,3.3793605422409585
Opponent Club,3.37856356183014,1.246717346632775,Opponent Club_Alanyaspor,-3.37856356183014
TM Minutes Played,3.0383377791709565,3.0383377791709565,TM Minutes Played,-3.0383377791709565
TM Appearance Minutes,3.0383377791709565,3.0383377791709565,TM Appearance Minutes,-3.0383377791709565
Club,2.7730014217998824,1.4745456082949986,Club_FC Red Bull Salzburg,-2.7730014217998824
Selected Club,2.7730014217998824,1.4745456082949986,Selected Club_FC Red Bull Salzburg,-2.7730014217998824
Team Goals Against,2.18087360953521,2.18087360953521,Team Goals Against,-2.18087360953521
TM Goals,1.757045992428486,1.757045992428486,TM Goals,1.757045992428486
TM Assists,1.2676286240244492,1.2676286240244492,TM Assists,1.2676286240244492
Context Match Available,1.2433852671726298,1.2433852671726298,Context Match Available,1.2433852671726298
Matched In Dataset Club,1.2433852671726298,1.2433852671726298,Matched In Dataset Club,1.2433852671726298
opponent_win_rate,1.1295924955277261,1.1295924955277261,opponent_win_rate,-1.1295924955277261
Fixture Difficulty Label,1.1102271417862584,0.5519660376699699,Fixture Difficulty Label_Hard,1.1102271417862584
Home Away,0.7017589476458519,0.46783929862593315,Home Away_Home,0.7017589476458519
Result,0.6315458110640964,0.43514456141737645,Result_W,0.6315458110640964
TM Red Cards,0.5673151129133672,0.5673151129133672,TM Red Cards,-0.5673151129133672
Fixture Difficulty,0.5090024527258457,0.5090024527258457,Fixture Difficulty,-0.5090024527258457
Had Assist,0.5024715179589683,0.5024715179589683,Had Assist,0.5024715179589683
Had Goal,0.49651788304611444,0.49651788304611444,Had Goal,0.49651788304611444
opponent_ppg,0.473794105700487,0.473794105700487,opponent_ppg,0.473794105700487
Fixture Difficulty Score,0.473794105700487,0.473794105700487,Fixture Difficulty Score,0.473794105700487
TM Yellow Cards,0.3366771448014659,0.3366771448014659,TM Yellow Cards,-0.3366771448014659
Opponent Position,0.31021377171758,0.31021377171758,Opponent Position,-0.31021377171758
Team Goals For,0.2492820242291347,0.2492820242291347,Team Goals For,0.2492820242291347
Team Rest Days,0.22002377312894977,0.22002377312894977,Team Rest Days,0.22002377312894977
Team Points,0.2070070337478352,0.2070070337478352,Team Points,-0.2070070337478352
opponent_goals_against_pg,0.10596245359729375,0.10596245359729375,opponent_goals_against_pg,-0.10596245359729375
opponent_goals_for_pg,0.05123858132213663,0.05123858132213663,opponent_goals_for_pg,0.05123858132213663
Team Position,0.015949141015479493,0.015949141015479493,Team Position,0.015949141015479493
Score Scope,1.9611600497796905e-11,1.9611600497796905e-11,Score Scope_Whole player history since 2024-08-01,-1.9611600497796905e-11
Event Yellow Cards,0.0,0.0,Event Yellow Cards,0.0
Event Substitutions,0.0,0.0,Event Substitutions,0.0
Event Red Cards,0.0,0.0,Event Red Cards,0.0
