variable,total_importance,max_encoded_importance
Lineup Status,0.1676968032993074,0.1108922528456484
player_last_score,0.11936463904651376,0.11936463904651376
player_rolling_3_score,0.116524800651912,0.116524800651912
player_rolling_5_score,0.09545235395257651,0.09545235395257651
player_rolling_10_score,0.09488878458445923,0.09488878458445923
player_zero_rate_before,0.0731554632170432,0.0731554632170432
player_avg_score_before,0.07140896946428699,0.07140896946428699
player_median_score_before,0.05206766345102968,0.05206766345102968
player_std_score_before,0.03020826927002421,0.03020826927002421
Fixture Difficulty Label,0.016002126439785127,0.013833680121183998
Matched Club,0.014036851844374365,0.01217123399836094
position_avg_score_before,0.01252063886239698,0.01252063886239698
Team Formation,0.011637281445039968,0.00987955647477218
Matched In Dataset Club,0.011181521296098784,0.011181521296098784
Opponent Club,0.010709952924780575,0.009573118620878378
Position,0.010439885550250248,0.003673285487551173
Home Away,0.009713263887130029,0.0063928358780308584
team_games_before,0.008888721752897216,0.008888721752897216
team_avg_score_before,0.008765736436897159,0.008765736436897159
Context Match Available,0.00811077129438795,0.00811077129438795
player_games_before,0.006766855218984225,0.006766855218984225
opponent_win_rate,0.005803190836973293,0.005803190836973293
Fixture Difficulty Score,0.005751230449119437,0.005751230449119437
Club,0.005532370785828061,0.0006654034886174565
Selected Club,0.005338453077386457,0.0007145178834402684
opponent_goals_for_pg,0.005287405984118997,0.005287405984118997
opponent_ppg,0.005282224271946958,0.005282224271946958
Team Position,0.0052292761870426484,0.0052292761870426484
opponent_goals_against_pg,0.0046465544038281365,0.0046465544038281365
Opponent Position,0.0028113644106188772,0.0028113644106188772
Fixture Difficulty,0.0023980550402224574,0.0023980550402224574
Team Rest Days,0.002378520662739194,0.002378520662739194
Score Scope,0.0,0.0
