variable,importance_mean_r2_drop,importance_std
Lineup Status,0.7465198512986514,0.018264141333498622
Position,0.07023788918840787,0.0035310030584600424
Had Goal Contribution,0.0671356206619114,0.0012929809395110163
TM Appearance Minutes,0.06662921350212238,0.002558557022783694
TM Minutes Played,0.05678179870458473,0.0022724853864902143
Team Goals Against,0.025244476341332533,0.0007558672763806479
Selected Club,0.009920073925346148,0.002121029554743952
Club,0.009771588745786305,0.0021687410575507524
Matched Club,0.0035051572974539313,0.00036604835415668505
Opponent Position,0.0019577185959694654,0.00036565039489380816
Matched In Dataset Club,0.0012368402089974612,0.0008001307871920265
Team Position,0.0006319093193851155,6.275628585082326e-05
Opponent Club,0.000530930669903576,0.0006409238817680796
TM Goals,0.0005152415250577747,4.127326642817374e-05
TM Yellow Cards,0.0004785867260574117,4.949363404069018e-05
Context Match Available,0.00041867690310365413,0.0005995941656175662
Result,0.000319025873222023,0.0005133835746044911
Team Goals For,0.0002717546853833186,6.851704250287095e-05
Fixture Difficulty Label,0.00023123152246405654,0.0005507579156363261
Home Away,0.000180854770586103,0.0004763808153561847
Had Goal,0.0001757803675255104,2.3147681406205685e-05
Team Points,0.00010131878443633835,4.542554861093246e-05
Team Rest Days,9.457942383288287e-05,2.5735044242559523e-05
TM Assists,8.747478468545955e-05,7.605676645210464e-06
Had Assist,8.645532055601146e-05,6.864637718100229e-06
Team Formation,9.538760819965963e-07,0.00046448878563423637
TM Red Cards,-6.938893903907228e-17,5.374844106186573e-17
Score Scope,-6.938893903907228e-17,5.374844106186573e-17
Event Red Cards,-6.938893903907228e-17,5.374844106186573e-17
Event Substitutions,-6.938893903907228e-17,5.374844106186573e-17
Event Yellow Cards,-8.326672684688674e-17,4.8074067159589095e-17
Fixture Difficulty,-5.871762657441715e-06,2.5813642600779464e-06
opponent_goals_against_pg,-3.700314847290831e-05,0.00011822095408346522
opponent_goals_for_pg,-0.00011174803099291142,0.00012750750717539376
opponent_win_rate,-0.00013738085901902897,5.1918845467973524e-05
opponent_ppg,-0.00018352718117468914,4.887604156027272e-05
Fixture Difficulty Score,-0.00020798097924987213,5.102205459225995e-05
