variable,pearson_corr,spearman_corr,non_null_rows,abs_spearman_corr
TM Goals,0.4503869277082613,0.413816005588486,10255,0.413816005588486
TM Appearance Minutes,0.3792034419494954,0.40283403145121394,10255,0.40283403145121394
TM Minutes Played,0.3792034419494954,0.40283403145121394,10255,0.40283403145121394
Context Match Available,0.3666255839469797,0.3760241231489092,32638,0.3760241231489092
Matched In Dataset Club,0.3666255839469797,0.3760241231489092,32638,0.3760241231489092
Had Goal Contribution,0.4058988168255502,0.3669739830494187,32638,0.3669739830494187
TM Assists,0.40093252498950227,0.35775848189977505,10255,0.35775848189977505
Had Goal,0.31381801745741494,0.2819637046776807,32638,0.2819637046776807
Had Assist,0.285508199124071,0.25409913306225684,32638,0.25409913306225684
Team Points,0.1694848063643395,0.17793719700213237,14378,0.17793719700213237
Team Goals Against,-0.15020975581130144,-0.16692617730892678,14378,0.16692617730892678
TM Yellow Cards,0.1548542976550446,0.1634102774151052,32638,0.1634102774151052
Team Goals For,0.14059712325254992,0.1407065458309567,14378,0.1407065458309567
Fixture Difficulty Score,-0.11494824831980992,-0.12297152034743271,14378,0.12297152034743271
opponent_ppg,-0.11494824831980992,-0.12297152034743271,14378,0.12297152034743271
Fixture Difficulty,-0.11357744175814351,-0.12053449259280012,14378,0.12053449259280012
opponent_win_rate,-0.11296367085172727,-0.11983477795558604,14378,0.11983477795558604
opponent_goals_for_pg,-0.10929571803375972,-0.11716265097260292,14378,0.11716265097260292
opponent_goals_against_pg,0.08125112396625442,0.10234298549617156,14378,0.10234298549617156
Team Position,-0.07672423457913703,-0.09253818618003792,10611,0.09253818618003792
Opponent Position,0.07647096241708613,0.08976152749845426,10611,0.08976152749845426
Team Rest Days,-0.0032039095418013416,-0.007598276632505295,14378,0.007598276632505295
TM Red Cards,-0.0032548312802002217,-0.0011632622978606855,32638,0.0011632622978606855
