variable,total_importance,max_encoded_importance
player_last_score,0.14947800913292342,0.14947800913292342
player_rolling_3_score,0.13908862615596757,0.13908862615596757
player_rolling_5_score,0.1184305551559926,0.1184305551559926
player_rolling_10_score,0.1044211763481523,0.1044211763481523
player_avg_score_before,0.08965202111679259,0.08965202111679259
player_median_score_before,0.06551560019943854,0.06551560019943854
player_zero_rate_before,0.06547667855473782,0.06547667855473782
player_std_score_before,0.04038917050854315,0.04038917050854315
Home Away,0.018424579646381445,0.014087027661907938
Team Formation,0.016386603182335577,0.014148626973412445
Matched In Dataset Club,0.015220267359302367,0.015220267359302367
Opponent Club,0.014949805341264697,0.013367644151960312
Fixture Difficulty Label,0.014360330861622455,0.011363131280288161
Context Match Available,0.013757398065719417,0.013757398065719417
position_avg_score_before,0.013667505289562037,0.013667505289562037
Matched Club,0.013026341296938243,0.010811395445739568
team_games_before,0.010510848139662295,0.010510848139662295
Position,0.010436246237413318,0.004714685918448517
team_avg_score_before,0.010165682851735977,0.010165682851735977
Fixture Difficulty Score,0.00872074307441998,0.00872074307441998
opponent_goals_for_pg,0.008294426958640891,0.008294426958640891
player_games_before,0.00795810126307172,0.00795810126307172
opponent_win_rate,0.007022810016133466,0.007022810016133466
opponent_ppg,0.0069665691412064,0.0069665691412064
Selected Club,0.0066100291519521695,0.0007971377935610595
opponent_goals_against_pg,0.006601077651960116,0.006601077651960116
Team Position,0.006537701571975677,0.006537701571975677
Club,0.006204485298011482,0.000797661608806047
Opponent Position,0.004936805785769084,0.004936805785769084
Fixture Difficulty,0.0037493723978042274,0.0037493723978042274
Team Rest Days,0.00304043224456876,0.00304043224456876
Score Scope,0.0,0.0
