GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score,GW Number
GW 683,1,Extra MID,462.0,Rui Silva,Sporting Clube de Portugal,69.3,Eduardo Quaresma,Sporting Clube de Portugal,98.3,Fred,Fenerbahçe Spor Kulübü,99.5,Youssef Chermiti,Rangers FC,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,94.9,683
GW 682,1,Extra MID,325.7,Jack Butland,Rangers FC,39.1,Auston Trusty,Celtic FC,71.7,Connor Barron,Rangers FC,75.5,Benjamin Nygren,Celtic FC,70.4,Thelonious Aasgaard,Rangers FC,MID,69.0,682
GW 681,1,Extra MID,418.9,Mert Günok,Fenerbahçe Spor Kulübü,67.2,Yiğit Demir,Fenerbahçe Spor Kulübü,82.9,Fred,Fenerbahçe Spor Kulübü,96.6,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,85.9,Oleksandr Zubkov,Trabzonspor Kulübü,MID,86.3,681
GW 680,1,Extra MID,273.9,Lukáš Horníček,Sporting Braga,38.7,Víctor Gómez,Sporting Braga,63.0,João Moutinho,Sporting Braga,50.5,Pau Víctor,Sporting Braga,76.1,Vítor Carvalho,Sporting Braga,MID,45.6,680
GW 679,1,Extra DEF,462.8,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,82.6,Jan Bednarek,FC Porto,100.0,Daniel Bragança,Sporting Clube de Portugal,93.9,Luis Suárez,Sporting Clube de Portugal,86.3,Tiago Djaló,Beşiktaş Jimnastik Kulübü,DEF,100.0,679
GW 678,1,Extra MID,375.7,Rui Silva,Sporting Clube de Portugal,62.1,Víctor Gómez,Sporting Braga,84.2,Ege Tıknaz,Sporting Braga,84.4,Luis Suárez,Sporting Clube de Portugal,72.2,Maho Dorgeles,Sporting Braga,MID,72.8,678
GW 677,1,Extra MID,439.0,Charles,Vitória Guimarães SC,78.0,Zeno Debast,Sporting Clube de Portugal,85.0,Lucas Torreira,Galatasaray Spor Kulübü,92.8,Oskar Pietuszewski,FC Porto,90.8,Richard Ríos,SL Benfica,MID,92.4,677
GW 676,1,Extra DEF,396.2,Lukáš Horníček,Sporting Braga,66.6,Jannik Schuster,FC Red Bull Salzburg,100.0,Ege Tıknaz,Sporting Braga,81.1,Yorbe Vertessen,FC Red Bull Salzburg,73.8,Gustaf Lagerbielke,Sporting Braga,DEF,74.7,676
GW 675,1,Extra DEF,418.1,Anatolii Trubin,SL Benfica,82.7,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,88.5,Christ Inao Oulaï,Trabzonspor Kulübü,72.5,Yunus Akgün,Galatasaray Spor Kulübü,86.9,Jan Bednarek,FC Porto,DEF,87.5,675
GW 674,1,Extra FWD,345.0,Rui Silva,Sporting Clube de Portugal,67.8,Eduardo Quaresma,Sporting Clube de Portugal,68.2,Ege Tıknaz,Sporting Braga,65.6,Ricardo Horta,Sporting Braga,72.0,Pau Víctor,Sporting Braga,FWD,71.4,674
GW 673,1,Extra MID,443.8,Anatolii Trubin,SL Benfica,79.6,Nicolás Otamendi,SL Benfica,90.5,Talisca,Fenerbahçe Spor Kulübü,92.9,Gianluca Prestianni,SL Benfica,88.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,92.7,673
GW 672,1,Extra MID,354.3,Uğurcan Çakır,Galatasaray Spor Kulübü,56.6,Sacha Boey,Galatasaray Spor Kulübü,68.9,Florian Grillitsch,Sporting Braga,78.6,William,FC Porto,73.1,Gabri Veiga,FC Porto,MID,77.1,672
GW 671,1,Extra DEF,440.2,Lukáš Horníček,Sporting Braga,65.3,Eduardo Quaresma,Sporting Clube de Portugal,100.0,Gonçalo Nogueira,Vitória Guimarães SC,95.2,Yang Hyun-Jun,Celtic FC,86.6,Davinson Sánchez,Galatasaray Spor Kulübü,DEF,93.1,671
GW 670,1,Extra DEF,396.6,Uğurcan Çakır,Galatasaray Spor Kulübü,65.2,Nicolás Otamendi,SL Benfica,93.4,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,95.8,Trincão,Sporting Clube de Portugal,67.3,John Souttar,Rangers FC,DEF,74.9,670
GW 669,1,Extra FWD,375.9,Rui Silva,Sporting Clube de Portugal,69.9,Zeno Debast,Sporting Clube de Portugal,77.6,Florian Grillitsch,Sporting Braga,72.4,Dodi Lukébakio,SL Benfica,79.6,Andreas Schjelderup,SL Benfica,FWD,76.4,669
GW 668,1,Extra DEF,372.6,Viljami Sinisalo,Celtic FC,69.0,Sidny Cabral,SL Benfica,81.4,İsmail Yüksek,Fenerbahçe Spor Kulübü,72.2,Kerim-Sam Alajbegović,FC Red Bull Salzburg,78.7,Jakub Kiwior,FC Porto,DEF,71.3,668
GW 667,1,Extra MID,429.8,Anatolii Trubin,SL Benfica,71.0,Frans Krätzig,FC Red Bull Salzburg,82.5,Richard Ríos,SL Benfica,98.5,Gianluca Prestianni,SL Benfica,80.9,Morten Hjulmand,Sporting Clube de Portugal,MID,96.9,667
GW 666,1,Extra FWD,474.6,Diogo Costa,FC Porto,89.3,Gonçalo Inácio,Sporting Clube de Portugal,100.0,Maximiliano Araújo,Sporting Clube de Portugal,100.0,Ricardo Horta,Sporting Braga,95.3,Nene Dorgeles,Fenerbahçe Spor Kulübü,FWD,90.0,666
GW 665,1,Extra DEF,469.8,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,86.2,Wilfried Singo,Galatasaray Spor Kulübü,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,92.2,Yang Hyun-Jun,Celtic FC,92.8,Tuur Rommens,Rangers FC,DEF,98.6,665
GW 664,1,Extra MID,365.2,Uğurcan Çakır,Galatasaray Spor Kulübü,86.8,Ismail Jakobs,Galatasaray Spor Kulübü,66.9,Morten Hjulmand,Sporting Clube de Portugal,74.2,Terem Moffi,FC Porto,64.3,Mario Lemina,Galatasaray Spor Kulübü,MID,73.0,664
GW 663,1,Extra MID,451.0,Uğurcan Çakır,Galatasaray Spor Kulübü,84.2,Rıdvan Yılmaz,Beşiktaş Jimnastik Kulübü,97.5,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,100.0,Luis Suárez,Sporting Clube de Portugal,79.0,Rodrigo Zalazar,Sporting Braga,MID,90.3,663
GW 662,1,Extra DEF,322.6,Viljami Sinisalo,Celtic FC,32.5,Kieran Tierney,Celtic FC,84.7,Callum McGregor,Celtic FC,67.1,Benjamin Nygren,Celtic FC,67.4,Benjamin Arthur,Celtic FC,DEF,70.9,662
GW 661,1,Extra MID,458.5,Rui Silva,Sporting Clube de Portugal,77.1,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,99.6,Morten Hjulmand,Sporting Clube de Portugal,100.0,Paul Onuachu,Trabzonspor Kulübü,84.7,Ozan Tufan,Trabzonspor Kulübü,MID,97.1,661
GW 660,1,Extra DEF,439.2,Viljami Sinisalo,Celtic FC,100.0,Saracchi,Celtic FC,87.8,Luke McCowan,Celtic FC,79.5,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,86.2,Dane Murray,Celtic FC,DEF,85.7,660
GW 659,1,Extra MID,449.2,Rui Silva,Sporting Clube de Portugal,69.6,James Tavernier,Rangers FC,100.0,Enzo Barrenechea,SL Benfica,90.8,Kerim-Sam Alajbegović,FC Red Bull Salzburg,98.8,Rodrigo Zalazar,Sporting Braga,MID,90.0,659
