team,team_slug,player_name,player_id,position,sorare_score,match_date,Selected Club,Selected Club Slug,Score Scope,Sorare GW API,gameweek,score_missing,score_is_zero,rolling_5_avg_score,rolling_15_avg_score,form_delta,median_score,score_volatility,score_floor,score_ceiling,avg_score,games,consistency_index,dnp_rate,minutes_played_rate,score_per_eur
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-12 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,604.0,604.0,False,True,,,,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-16 18:30:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,605.0,605.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-20 19:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,606.0,606.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-23 18:30:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,607.0,607.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-27 19:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,608.0,608.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-08-31 16:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,609.0,609.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-09-14 16:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,613.0,613.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-09-17 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,614.0,614.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-09-21 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,615.0,615.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-09-24 19:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,616.0,616.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-09-28 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,617.0,617.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-10-02 16:45:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,618.0,618.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-10-05 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,619.0,619.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-10-19 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,623.0,623.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-10-23 16:45:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,624.0,624.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-10-27 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,625.0,625.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-11-02 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,627.0,627.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-11-06 20:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,628.0,628.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-11-09 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,629.0,629.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-11-23 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,633.0,633.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-11-27 17:45:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,634.0,634.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Abdou Fall,abdou-aziz-fall,MID,0.0,2025-12-01 17:00:00+00:00,Fenerbahçe Spor Kulübü,fenerbahce-istanbul,Whole player history since 2024-08-01,635.0,635.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,,
