player_id,player_name,team,position,games,avg_score,median_score,score_volatility,score_floor,score_ceiling,recent_form,longer_form,form_delta,consistency_index,score_per_eur
nicolas-hernan-otamendi,Nicolás Otamendi,SL Benfica,DEF,118,56.88728813559322,60.7,27.47286943470044,0.0,100.0,44.8,32.72666666666667,12.07333333333333,1.9979471428427082,
benjamin-nygren,Benjamin Nygren,Celtic FC,FWD,92,56.44347826086957,51.65,20.712682871245747,0.0,100.0,53.120000000000005,58.77333333333333,-5.653333333333329,2.5995625964591436,
orkun-kokcu,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,108,56.175925925925924,54.85,25.72681742168407,0.0,100.0,63.7,65.24666666666667,-1.5466666666666669,2.101856163403471,
callum-mcgregor,Callum McGregor,Celtic FC,MID,98,55.0969387755102,53.25,18.72526521955309,0.0,100.0,48.300000000000004,47.86666666666667,0.4333333333333371,2.793216626608102,
francisco-antonio-machado-mota-de-castro-trincao,Trincão,Sporting Clube de Portugal,FWD,108,55.00277777777778,54.1,25.309295910822126,0.0,100.0,52.36,55.220000000000006,-2.8600000000000065,2.090621427658686,
n-golo-kante,N'Golo Kanté,Fenerbahçe Spor Kulübü,MID,30,53.53,55.95,24.98649497297456,0.0,100.0,58.08,59.38666666666666,-1.3066666666666649,2.0599161239586232,
luis-javier-suarez-charris,Luis Suárez,Sporting Clube de Portugal,FWD,100,53.379,60.0,25.341889683432704,0.0,100.0,58.980000000000004,49.72666666666667,9.253333333333337,2.026392208056806,
james-tavernier,James Tavernier,Rangers FC,DEF,104,53.377884615384616,51.85,28.896836783015313,0.0,100.0,25.080000000000002,43.14666666666667,-18.066666666666666,1.7854024157401533,
muhammed-kerem-akturkoglu,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,FWD,117,52.35384615384615,48.1,23.144883021514193,0.0,100.0,64.5,52.019999999999996,12.480000000000004,2.1683205550093776,
ricardo-jorge-luz-horta,Ricardo Horta,Sporting Braga,FWD,103,52.33398058252427,47.7,24.493646848936233,0.0,100.0,7.5200000000000005,37.68666666666666,-30.16666666666666,2.0528244112202407,
vaclav-cerny,Václav Černý,Beşiktaş Jimnastik Kulübü,FWD,101,51.5019801980198,48.6,23.591701847039435,0.0,100.0,41.44,46.98,-5.539999999999999,2.0942828812077545,
nicolas-raskin,Nicolas Raskin,Rangers FC,MID,116,50.938793103448276,50.55,25.65033018365913,0.0,100.0,42.06,49.00666666666667,-6.946666666666665,1.911375684744117,
evangelos-pavlidis,Vangelis Pavlidis,SL Benfica,FWD,116,50.824999999999996,40.6,20.808087370058786,0.0,100.0,33.54,39.4,-5.859999999999999,2.330557427506445,
diogo-meireles-costa,Diogo Costa,FC Porto,GK,109,50.263302752293576,47.6,22.334782956894088,0.0,99.5,45.56,48.46,-2.8999999999999986,2.1540077250833676,
davinson-sanchez-mina,Davinson Sánchez,Galatasaray Spor Kulübü,DEF,109,49.44770642201835,53.5,27.39434449720476,0.0,100.0,43.52,47.71333333333333,-4.193333333333328,1.7414632138060506,
abdulkerim-bardakci,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,DEF,110,49.29363636363637,54.6,23.492592145996042,0.0,100.0,50.940000000000005,43.03999999999999,7.900000000000013,2.0125936883203566,
lucas-torreira-di-pascua,Lucas Torreira,Galatasaray Spor Kulübü,MID,96,49.104166666666664,49.9,23.94768823769477,0.0,97.0,55.08,48.95333333333333,6.126666666666665,1.9682852454630488,
oleksandr-zubkov,Oleksandr Zubkov,Trabzonspor Kulübü,MID,70,48.994285714285716,45.349999999999994,23.914139203204194,0.0,99.2,52.220000000000006,40.29333333333333,11.926666666666677,1.966525325827215,
rafael-alexandre-fernandes-ferreira-da-silva,Rafa,SL Benfica,MID,89,48.96179775280899,44.9,25.9814378915636,0.0,100.0,57.15999999999999,50.18666666666666,6.973333333333329,1.8146474605831915,
djeidi-gassama,Djeidi Gassama,Rangers FC,FWD,99,48.544444444444444,42.4,17.51503273996615,0.0,84.1,45.120000000000005,47.78666666666666,-2.666666666666657,2.621893524371548,
victor-mow-froholdt,Victor Froholdt,FC Porto,MID,105,48.40190476190476,42.8,20.833949646561447,0.0,100.0,44.5,52.96666666666667,-8.466666666666669,2.2168185575864148,
nene-dorgeles,Nene Dorgeles,Fenerbahçe Spor Kulübü,FWD,109,48.214678899082564,46.3,23.412100486746066,0.0,100.0,33.46,44.36666666666667,-10.906666666666666,1.9750319692997949,
goncalo-bernardo-inacio,Gonçalo Inácio,Sporting Clube de Portugal,DEF,104,48.00096153846154,49.05,29.397822042015974,0.0,100.0,40.46,39.88,0.5799999999999983,1.579092129433301,
morten-hjulmand,Morten Hjulmand,Sporting Clube de Portugal,MID,107,47.913084112149534,50.9,25.00238888251442,0.0,100.0,9.28,40.4,-31.119999999999997,1.8426416252996352,
victor-james-osimhen,Victor Osimhen,Galatasaray Spor Kulübü,FWD,106,47.76792452830188,60.0,30.17749886183669,0.0,96.0,38.0,40.873333333333335,-2.873333333333335,1.5321281780807943,
liam-scales,Liam Scales,Celtic FC,DEF,112,47.26428571428572,48.5,30.888753768889895,0.0,100.0,48.2,46.8,1.4000000000000057,1.4821615813784457,
ugurcan-cakir,Uğurcan Çakır,Galatasaray Spor Kulübü,GK,103,47.25728155339806,46.3,27.197183396345668,0.0,98.5,33.53999999999999,54.17333333333333,-20.63333333333334,1.675957519910395,
chibuike-godfrey-nwaiwu,Chibuike Nwaiwu,Trabzonspor Kulübü,DEF,67,47.01044776119403,49.1,26.077792330386696,0.0,100.0,47.08,50.00666666666667,-2.9266666666666694,1.7361255743304784,
jan-bednarek,Jan Bednarek,FC Porto,DEF,100,46.907,49.25,25.42587266958798,0.0,100.0,47.75999999999999,50.166666666666664,-2.4066666666666734,1.7750407181058798,
anatolii-trubin,Anatolii Trubin,SL Benfica,GK,116,46.8948275862069,46.5,22.63334917224191,0.0,87.0,54.34000000000001,45.20000000000001,9.14,1.984264999616995,
fredrik-aursnes,Fredrik Aursnes,SL Benfica,MID,98,46.875510204081635,45.0,23.0714401984313,0.0,91.2,47.2,30.980000000000004,16.22,1.947349631665846,
noah-jose-saviolo,Noah Saviolo,Vitória Guimarães SC,FWD,30,46.75333333333333,44.75,14.493226321126787,30.8,92.4,38.56,46.21333333333333,-7.653333333333329,3.017662839506824,
anderson-souza-conceicao,Talisca,Fenerbahçe Spor Kulübü,MID,75,46.473333333333336,42.6,25.90572478384993,0.0,96.3,66.44,39.580000000000005,26.859999999999992,1.7272656175100995,
maximiliano-javier-araujo-vilches,Maximiliano Araújo,Sporting Clube de Portugal,MID,106,45.890566037735844,43.45,22.171906412446003,0.0,100.0,55.7,43.333333333333336,12.366666666666667,1.9804398145284794,
gabriel-davi-gomes-sara,Gabriel Sara,Galatasaray Spor Kulübü,MID,96,45.817708333333336,44.55,26.34257708206548,0.0,100.0,22.82,30.780000000000005,-7.960000000000004,1.6756909268580265,
victor-gomez-perea,Víctor Gómez,Sporting Braga,DEF,101,45.718811881188124,47.5,24.120678733697712,0.0,94.1,41.44000000000001,44.95333333333333,-3.513333333333321,1.8199672216602727,
borja-sainz-eguskiza,Borja Sainz,FC Porto,MID,92,45.38804347826087,40.35,23.38522047767131,0.0,100.0,25.98,35.17999999999999,-9.199999999999992,1.8612931353161684,
