sorare_club_slug,transfermarkt_club_name
sporting-braga-braga,Sporting Clube de Braga
sporting-cp-lisboa,Sporting Clube de Portugal
benfica-lisboa,Sport Lisboa e Benfica
porto-porto,Futebol Clube do Porto
besiktas-istanbul,Beşiktaş Jimnastik Kulübü
fenerbahce-istanbul,Fenerbahçe Spor Kulübü
galatasaray-istanbul,Galatasaray Spor Kulübü
trabzonspor-trabzon,Trabzonspor Kulübü
vitoria-guimaraes-guimaraes,Vitória Sport Clube
salzburg-wals-siezenheim,Fußballclub Red Bull Salzburg
rangers-glasgow,Rangers Football Club
celtic-glasgow,The Celtic Football Club
