Lineup Status,Fixture Difficulty Label,rows,avg_score,median_score,goals,assists
Bench,Easy,1347,20.066072754268745,0.0,45.0,37.0
Bench,Hard,1439,17.32946490618485,0.0,29.0,19.0
Bench,Medium,1095,19.005388127853884,0.0,27.0,27.0
Bench,Very easy,1225,20.68979591836735,0.0,47.0,34.0
Bench,Very hard,1144,15.882692307692308,0.0,20.0,16.0
DNP / not in tracked club matchday squad,,18260,17.57213581599124,0.0,0.0,0.0
Starter,Easy,1841,56.25274307441608,54.2,280.0,213.0
Starter,Hard,1772,51.371275395033855,47.8,174.0,152.0
Starter,Medium,1438,54.007162726008346,51.4,174.0,138.0
Starter,Very easy,1635,56.956880733944956,55.1,261.0,237.0
Starter,Very hard,1442,46.66934812760055,43.650000000000006,119.0,101.0
