Club,Club Slug,Player,Player Slug,Position,Score,Game Date,Selected Club,Selected Club Slug,Score Scope,Sorare GW API,Sorare GW,sorare_player_norm,Matched Club Slug,Matched Club,tm_player_id,tm_player_name,Matched Match Date,Lineup Status,TM Goals,TM Assists,TM Minutes Played,Matched Date Diff Days,Matched In Dataset Club,Had Goal,Had Assist,Had Goal Contribution,sorare_club_slug,match_date,game_id,tm_club_id,club_id,opponent_id,competition_id,season,round,date,Opponent Club,Home Away,Team Goals For,Team Goals Against,Result,Team Points,Team Rest Days,Team Position,Opponent Position,Team Formation,opponent_ppg,opponent_goals_for_pg,opponent_goals_against_pg,opponent_win_rate,Fixture Difficulty Score,Fixture Difficulty,TM Yellow Cards,TM Red Cards,TM Appearance Minutes,Event Yellow Cards,Event Red Cards,Event Substitutions,Context Match Available,Fixture Difficulty Label
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Ahmet Bircan,ahmet-sami-bircan,Forward,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,ahmet bircan,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Ali Pağda,ali-pagda,Forward,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,ali pagda,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Asım Işık,asim-efe-isik,Midfielder,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,asm isk,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Cengiz Ünder,cengiz-under,Forward,34.7,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,cengiz under,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,341647,Cengiz Ünder,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,45.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,1.0,0.0,45.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Devis Vásquez,devis-stiven-vasquez-llach,Goalkeeper,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,devis vasquez,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,495722,Devis Vásquez,2026-05-15 00:00:00+00:00,Bench,,,,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Devrim Şahin,devrim-sahin-2007-04-01,Forward,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,devrim sahin,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,1304045,Devrim Şahin,2026-05-15 00:00:00+00:00,Bench,,,,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,El Bilal Touré,el-bilal-toure,Forward,49.9,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,el bilal toure,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,649016,El Bilal Touré,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,90.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,90.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Emir Yaşar,emir-yasar,Goalkeeper,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,emir yasar,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Emirhan Topçu,emir-han-topcu,Defender,74.2,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,emirhan topcu,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,531332,Emirhan Topçu,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,90.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,90.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Emmanuel Agbadou,emmanuel-agbadou,Defender,56.6,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,emmanuel agbadou,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,683895,Emmanuel Agbadou,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,90.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,1.0,0.0,90.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Emre Bilgin,emre-bilgin,Goalkeeper,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,emre bilgin,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,727147,Emre Bilgin,2026-05-15 00:00:00+00:00,Bench,,,,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Ersin Destanoğlu,ersin-destanoglu,Goalkeeper,48.9,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,ersin destanoglu,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,500091,Ersin Destanoğlu,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,90.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,90.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Felix Uduokhai,felix-uduokhai,Defender,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,felix uduokhai,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Gökhan Sazdağı,gokhan-sazdagi,Midfielder,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,gokhan sazdag,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Hyeongyu Oh,hyun-gyu-oh,Forward,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,hyeongyu oh,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Jota Silva,joao-pedro-ferreira-silva,Forward,86.2,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,jota silva,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,663244,Jota Silva,2026-05-15 00:00:00+00:00,Bench,1.0,0.0,45.0,0.0,True,True,False,True,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,45.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Junior Olaïtan,junior-olaitan-ishola,Midfielder,76.4,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,junior olaitan,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,900938,Junior Olaitan,2026-05-15 00:00:00+00:00,Bench,0.0,1.0,45.0,0.0,True,False,True,True,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,45.0,0.0,0.0,0.0,True,Easy
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Kartal Yılmaz,kartal-kayra-yilmaz,Midfielder,0.0,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,kartal ylmaz,,,<NA>,,,DNP / not in tracked club matchday squad,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,False,
Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Kristjan Asllani,kristjan-asllani,Midfielder,37.2,2026-05-15 17:00:00+00:00,Beşiktaş Jimnastik Kulübü,besiktas-istanbul,Whole player history since 2024-08-01,683.0,683.0,kristjan asllani,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,543771,Kristjan Asllani,2026-05-15 00:00:00+00:00,Starter,0.0,0.0,84.0,0.0,True,False,False,False,besiktas-istanbul,2026-05-15 00:00:00+00:00,4648067.0,114,114,126,TR1,2025.0,34. Matchday,2026-05-15 00:00:00+00:00,Çaykur Rizespor Kulübü,Away,2.0,2.0,D,1.0,6.0,4.0,8.0,4-3-3 Attacking,1.2058823529411764,1.3529411764705883,1.5294117647058822,0.29411764705882354,1.2058823529411764,2,0.0,0.0,84.0,0.0,0.0,0.0,True,Easy
