Matched Club,rows,players,avg_score,goals,assists
The Celtic Football Club,1374,34,41.2051673944687,130.0,100.0
Fenerbahçe Spor Kulübü,1008,24,40.471626984126985,94.0,78.0
Rangers Football Club,1143,31,40.16727909011373,90.0,76.0
Galatasaray Spor Kulübü,1381,33,40.03910209992759,154.0,112.0
Sporting Clube de Portugal,1257,34,39.88305489260143,118.0,96.0
Trabzonspor Kulübü,847,29,39.639551357733176,75.0,70.0
Sport Lisboa e Benfica,1415,37,38.83681978798587,149.0,130.0
Futebol Clube do Porto,1215,35,37.77160493827161,76.0,85.0
Sporting Clube de Braga,1570,34,36.94923566878981,147.0,108.0
Fußballclub Red Bull Salzburg,1124,32,35.58416370106762,13.0,14.0
Beşiktaş Jimnastik Kulübü,1012,30,34.010770750988144,56.0,57.0
Vitória Sport Clube,1032,32,32.33565891472868,74.0,48.0
