Matched Club,Player,Position,games,avg_score,median_score,ceiling,floor,volatility,goals,assists
Galatasaray Spor Kulübü,Kerem Aktürkoğlu,Forward,5,65.84,71.7,84.4,46.0,18.14918730962905,2.0,3.0
Beşiktaş Jimnastik Kulübü,Orkun Kökçü,Midfielder,36,63.458333333333336,65.15,100.0,0.0,24.17178254553378,8.0,10.0
The Celtic Football Club,Cameron Carter-Vickers,Defender,48,63.16041666666666,61.85,100.0,0.0,22.460544503577005,1.0,0.0
Sport Lisboa e Benfica,Nicolás Otamendi,Defender,93,62.921505376344086,63.5,100.0,0.0,21.963778727033276,10.0,9.0
Galatasaray Spor Kulübü,Victor Osimhen,Forward,69,62.25797101449275,64.1,96.0,34.0,17.2880050714965,54.0,15.0
The Celtic Football Club,Alistair Johnston,Defender,45,61.771111111111104,66.7,100.0,0.0,26.297602917222683,4.0,9.0
Sporting Clube de Portugal,Luis Suárez,Forward,44,60.69772727272727,60.55,100.0,27.6,18.92121349956136,33.0,9.0
Sport Lisboa e Benfica,Orkun Kökçü,Midfielder,48,60.458333333333336,59.15,100.0,26.6,20.639373994025313,11.0,9.0
The Celtic Football Club,Benjamin Nygren,Forward,45,58.81555555555555,55.9,100.0,33.3,18.902488479220683,19.0,6.0
Futebol Clube do Porto,Jan Bednarek,Defender,44,58.60681818181818,59.7,100.0,12.6,20.629572335772526,2.0,0.0
Rangers Football Club,Václav Černý,Forward,42,58.56666666666667,54.95,100.0,32.7,18.816205608356192,17.0,5.0
The Celtic Football Club,Callum McGregor,Midfielder,84,58.04761904761905,55.2,100.0,27.5,15.529959202038564,10.0,4.0
Sporting Clube de Portugal,Gonçalo Inácio,Defender,79,57.76708860759494,55.0,100.0,0.0,23.458303005048414,7.0,6.0
Fenerbahçe Spor Kulübü,N'Golo Kanté,Midfielder,16,57.66875,54.55,88.3,33.5,16.821047083936243,2.0,0.0
Fenerbahçe Spor Kulübü,Mattéo Guendouzi,Midfielder,17,57.22941176470588,56.1,100.0,37.6,15.633048515320128,1.0,1.0
Rangers Football Club,James Tavernier,Defender,90,57.20333333333333,57.5,100.0,0.0,26.862983386148578,13.0,14.0
The Celtic Football Club,Jota,Forward,12,57.15833333333333,57.4,77.6,35.8,16.735941635421728,4.0,2.0
Sporting Clube de Portugal,Morten Hjulmand,Midfielder,75,57.01066666666667,55.6,100.0,0.0,17.758694660251244,5.0,6.0
Fenerbahçe Spor Kulübü,Marco Asensio,Midfielder,36,57.00833333333334,59.4,100.0,0.0,22.444348636444893,11.0,13.0
Sporting Clube de Braga,Ricardo Horta,Forward,94,56.913829787234036,49.45,100.0,0.0,19.992281311964817,31.0,19.0
