Player,Club,Appearances,Average_Player_Score,Median_Player_Score,Highest_Player_Score,Lowest_Player_Score,Appearance Percentage
Uğurcan Çakır,Galatasaray Spor Kulübü,23,76.48,79.7,98.5,35.3,12.92
Kasper Schmeichel,Celtic FC,22,76.85,75.9,98.1,43.2,12.36
Anatolii Trubin,SL Benfica,22,70.04,73.6,87.0,29.6,12.36
Jack Butland,Rangers FC,21,69.75,75.5,93.9,13.0,11.8
Nicolás Otamendi,SL Benfica,19,85.06,89.2,100.0,61.5,10.67
James Tavernier,Rangers FC,16,90.86,94.4,100.0,67.4,8.99
Orkun Kökçü,Beşiktaş Jimnastik Kulübü,15,85.98,91.2,100.0,65.9,8.43
Nicolas Raskin,Rangers FC,14,87.69,88.2,100.0,71.7,7.87
Liam Scales,Celtic FC,13,90.33,97.0,100.0,66.5,7.3
Diogo Costa,FC Porto,13,78.66,77.2,99.5,52.0,7.3
Ederson,Fenerbahçe Spor Kulübü,13,73.2,77.2,87.9,30.2,7.3
André Onana,Trabzonspor Kulübü,13,65.05,73.3,90.5,28.3,7.3
Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,10,89.02,87.05,100.0,72.6,5.62
Ricardo Horta,Sporting Braga,10,88.8,91.7,100.0,72.0,5.62
Luis Suárez,Sporting Clube de Portugal,10,86.56,84.95,100.0,72.2,5.62
Lukáš Horníček,Sporting Braga,10,73.66,79.65,91.7,38.7,5.62
Rui Silva,Sporting Clube de Portugal,10,67.42,69.45,83.8,27.0,5.62
Václav Černý,Beşiktaş Jimnastik Kulübü,9,89.84,94.6,100.0,68.6,5.06
Trincão,Sporting Clube de Portugal,9,89.34,93.6,100.0,67.3,5.06
Benjamin Nygren,Celtic FC,9,83.53,82.3,100.0,67.4,5.06
Richard Ríos,SL Benfica,9,76.0,88.3,100.0,39.4,5.06
Alistair Johnston,Celtic FC,8,93.6,100.0,100.0,73.0,4.49
Arne Engels,Celtic FC,8,87.94,87.7,100.0,74.4,4.49
Vangelis Pavlidis,SL Benfica,8,87.4,92.85,100.0,70.0,4.49
Auston Trusty,Celtic FC,8,85.12,81.2,100.0,71.7,4.49
Eduardo Quaresma,Sporting Clube de Portugal,7,94.73,100.0,100.0,68.2,3.93
Davinson Sánchez,Galatasaray Spor Kulübü,7,93.06,93.6,100.0,83.7,3.93
Barış Yılmaz,Galatasaray Spor Kulübü,7,91.51,89.0,100.0,84.3,3.93
Roger Fernandes,Sporting Braga,7,87.64,85.6,100.0,76.8,3.93
Rodrigo Zalazar,Sporting Braga,7,85.84,89.7,91.9,70.0,3.93
Saracchi,Celtic FC,7,81.66,85.0,89.4,61.9,3.93
Rafa,SL Benfica,6,97.75,100.0,100.0,91.9,3.37
Cameron Carter-Vickers,Celtic FC,6,93.1,96.85,100.0,72.8,3.37
Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,6,91.35,94.8,100.0,70.0,3.37
Jakub Kiwior,FC Porto,6,90.85,96.0,100.0,71.3,3.37
John Souttar,Rangers FC,6,88.07,92.7,95.7,74.9,3.37
Yunus Akgün,Galatasaray Spor Kulübü,6,87.63,88.35,100.0,72.6,3.37
Gonçalo Inácio,Sporting Clube de Portugal,6,87.55,100.0,100.0,51.2,3.37
Victor Froholdt,FC Porto,6,87.53,86.9,100.0,72.3,3.37
Gustaf Lagerbielke,Sporting Braga,6,86.65,90.6,100.0,64.6,3.37
Zeno Debast,Sporting Clube de Portugal,6,86.58,85.7,100.0,74.0,3.37
Noa Lang,Galatasaray Spor Kulübü,6,85.97,89.45,98.7,67.4,3.37
Luke McCowan,Celtic FC,6,85.38,85.7,100.0,69.1,3.37
Clement Bischoff,FC Red Bull Salzburg,6,84.55,82.55,100.0,74.2,3.37
Victor Osimhen,Galatasaray Spor Kulübü,6,83.32,83.4,96.0,70.0,3.37
Oliver Antman,Rangers FC,6,82.93,82.0,100.0,69.9,3.37
Morten Hjulmand,Sporting Clube de Portugal,6,81.43,81.85,100.0,60.0,3.37
Daizen Maeda,Celtic FC,6,80.72,83.85,93.1,60.0,3.37
Andreas Schjelderup,SL Benfica,6,79.88,79.2,89.3,68.6,3.37
Leroy Sané,Galatasaray Spor Kulübü,6,77.25,93.7,97.9,40.3,3.37
Viljami Sinisalo,Celtic FC,6,69.45,72.35,100.0,32.5,3.37
Alexander Schlager,FC Red Bull Salzburg,6,58.5,65.2,74.3,33.4,3.37
Jan Bednarek,FC Porto,5,94.86,100.0,100.0,86.8,2.81
Nene Dorgeles,Fenerbahçe Spor Kulübü,5,91.22,95.7,100.0,70.4,2.81
Manu,SL Benfica,5,90.8,92.5,100.0,79.0,2.81
Milan Škriniar,Fenerbahçe Spor Kulübü,5,90.02,91.3,93.0,85.9,2.81
Oğuz Aydın,Fenerbahçe Spor Kulübü,5,87.38,88.7,94.6,75.2,2.81
Callum McGregor,Celtic FC,5,84.76,88.7,100.0,67.1,2.81
Anthony Ralston,Celtic FC,5,82.9,79.0,100.0,68.8,2.81
Víctor Gómez,Sporting Braga,5,81.52,84.2,94.1,63.0,2.81
Maximiliano Araújo,Sporting Clube de Portugal,5,80.86,86.8,100.0,40.5,2.81
Yang Hyun-Jun,Celtic FC,5,80.66,89.4,92.8,43.4,2.81
Thelonious Aasgaard,Rangers FC,5,74.46,75.8,84.9,60.6,2.81
Andreas Skov Olsen,Rangers FC,5,72.84,80.9,88.6,35.0,2.81
Mert Günok,Fenerbahçe Spor Kulübü,5,69.58,67.2,83.2,54.5,2.81
Gabriel Sara,Galatasaray Spor Kulübü,4,97.9,100.0,100.0,91.6,2.25
Samuel Dahl,SL Benfica,4,96.92,100.0,100.0,87.7,2.25
Wilfried Singo,Galatasaray Spor Kulübü,4,96.35,96.45,100.0,92.5,2.25
Talisca,Fenerbahçe Spor Kulübü,4,94.45,94.3,96.3,92.9,2.25
Kristjan Asllani,Beşiktaş Jimnastik Kulübü,4,94.38,94.65,100.0,88.2,2.25
Arsenii Batahov,Trabzonspor Kulübü,4,93.05,98.65,100.0,74.9,2.25
Kerim-Sam Alajbegović,FC Red Bull Salzburg,4,92.85,96.35,100.0,78.7,2.25
Mattéo Guendouzi,Fenerbahçe Spor Kulübü,4,91.8,92.4,100.0,82.4,2.25
Mohammed Diomandé,Rangers FC,4,90.78,90.0,100.0,83.1,2.25
Nasser Djiga,Rangers FC,4,85.98,87.4,100.0,69.1,2.25
Ricardo Mangas,Sporting Clube de Portugal,4,85.48,85.95,100.0,70.0,2.25
Abdülkerim Bardakcı,Galatasaray Spor Kulübü,4,85.43,83.65,100.0,74.4,2.25
Ismail Jakobs,Galatasaray Spor Kulübü,4,83.1,82.75,100.0,66.9,2.25
İsmail Yüksek,Fenerbahçe Spor Kulübü,4,82.98,80.1,99.5,72.2,2.25
Mads Bidstrup,FC Red Bull Salzburg,4,82.95,86.15,97.1,62.4,2.25
Florian Grillitsch,Sporting Braga,4,82.9,79.6,100.0,72.4,2.25
Fredrik Aursnes,SL Benfica,4,82.38,83.25,91.2,71.8,2.25
Ege Tıknaz,Sporting Braga,4,81.15,82.75,93.5,65.6,2.25
Fotis Ioannidis,Sporting Clube de Portugal,4,79.9,80.05,84.4,75.1,2.25
Liam Kelly,Rangers FC,4,79.22,82.5,91.0,60.9,2.25
Gabri Martínez,Sporting Braga,4,77.35,82.55,84.3,60.0,2.25
Gabri Veiga,FC Porto,4,72.7,81.25,92.6,35.7,2.25
Bojan Miovski,Rangers FC,4,62.62,65.0,76.8,43.7,2.25
Alberto Costa,FC Porto,3,100.0,100.0,100.0,100.0,1.69
Pedro Gonçalves,Sporting Clube de Portugal,3,100.0,100.0,100.0,100.0,1.69
Michael Murillo,Beşiktaş Jimnastik Kulübü,3,99.13,99.5,100.0,97.9,1.69
Ilkay Gündogan,Galatasaray Spor Kulübü,3,98.3,98.2,100.0,96.7,1.69
Borja Sainz,FC Porto,3,95.83,97.8,100.0,89.7,1.69
Kieran Tierney,Celtic FC,3,93.83,96.8,100.0,84.7,1.69
Tomás Araújo,SL Benfica,3,93.43,93.0,96.6,90.7,1.69
Fred,Fenerbahçe Spor Kulübü,3,93.07,96.6,99.5,83.1,1.69
Enzo Barrenechea,SL Benfica,3,93.0,92.5,95.7,90.8,1.69
Maurits Kjærgaard,FC Red Bull Salzburg,3,92.97,94.9,100.0,84.0,1.69
Sidny Cabral,SL Benfica,3,92.9,97.3,100.0,81.4,1.69
Reo Hatate,Celtic FC,3,92.13,96.3,100.0,80.1,1.69
Youssef Chermiti,Rangers FC,3,91.8,100.0,100.0,75.4,1.69
Oleksandr Zubkov,Trabzonspor Kulübü,3,91.17,90.1,97.1,86.3,1.69
Frans Krätzig,FC Red Bull Salzburg,3,89.53,86.1,100.0,82.5,1.69
N'Golo Kanté,Fenerbahçe Spor Kulübü,3,89.13,85.0,100.0,82.4,1.69
Christ Inao Oulaï,Trabzonspor Kulübü,3,88.73,93.7,100.0,72.5,1.69
Felix Uduokhai,Beşiktaş Jimnastik Kulübü,3,87.97,100.0,100.0,63.9,1.69
António Silva,SL Benfica,3,87.53,95.7,97.9,69.0,1.69
Maho Dorgeles,Sporting Braga,3,87.37,90.7,98.6,72.8,1.69
Rıdvan Yılmaz,Beşiktaş Jimnastik Kulübü,3,87.2,90.6,97.5,73.5,1.69
Franjo Ivanović,SL Benfica,3,86.73,93.8,95.8,70.6,1.69
Wagner Pina,Trabzonspor Kulübü,3,86.17,98.5,100.0,60.0,1.69
Nedim Bajrami,Rangers FC,3,85.63,96.0,96.4,64.5,1.69
Mario Lemina,Galatasaray Spor Kulübü,3,85.5,88.2,95.3,73.0,1.69
Eren Elmalı,Galatasaray Spor Kulübü,3,84.9,87.4,95.8,71.5,1.69
Hidemasa Morita,Sporting Clube de Portugal,3,80.9,81.0,88.6,73.1,1.69
Sacha Boey,Galatasaray Spor Kulübü,3,80.87,73.7,100.0,68.9,1.69
Thiago Silva,FC Porto,3,80.87,82.9,95.0,64.7,1.69
Paulo Bernardo,Celtic FC,3,80.63,85.5,100.0,56.4,1.69
Tochi Chukwuani,Rangers FC,3,80.17,82.4,88.1,70.0,1.69
Nelson Semedo,Fenerbahçe Spor Kulübü,3,80.03,79.7,82.8,77.6,1.69
Geovany Quenda,Sporting Clube de Portugal,3,80.0,84.3,89.8,65.9,1.69
Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,3,79.7,82.6,86.2,70.3,1.69
Leonardo Lelo,Sporting Braga,3,77.23,86.3,95.2,50.2,1.69
Ross Doohan,Celtic FC,3,76.7,79.1,89.0,62.0,1.69
Vítor Carvalho,Sporting Braga,3,73.33,78.9,95.5,45.6,1.69
Pau Víctor,Sporting Braga,3,59.53,71.4,76.1,31.1,1.69
Chibuike Nwaiwu,Trabzonspor Kulübü,2,100.0,100.0,100.0,100.0,1.12
Gökhan Sazdağı,Beşiktaş Jimnastik Kulübü,2,100.0,100.0,100.0,100.0,1.12
João Mendes,Vitória Guimarães SC,2,99.25,99.25,100.0,98.5,1.12
Georgios Vagiannidis,Sporting Clube de Portugal,2,98.8,98.8,100.0,97.6,1.12
Aleksa Terzić,FC Red Bull Salzburg,2,97.45,97.45,100.0,94.9,1.12
Mert Müldür,Fenerbahçe Spor Kulübü,2,97.2,97.2,100.0,94.4,1.12
Marco Asensio,Fenerbahçe Spor Kulübü,2,95.6,95.6,100.0,91.2,1.12
Paulo Oliveira,Sporting Braga,2,94.95,94.95,98.6,91.3,1.12
Lucas Torreira,Galatasaray Spor Kulübü,2,94.9,94.9,97.0,92.8,1.12
Rodrigo Abascal,Vitória Guimarães SC,2,94.9,94.9,100.0,89.8,1.12
Kaan Ayhan,Galatasaray Spor Kulübü,2,94.85,94.85,95.9,93.8,1.12
Alexander Bah,SL Benfica,2,94.8,94.8,99.1,90.5,1.12
Dane Murray,Celtic FC,2,92.85,92.85,100.0,85.7,1.12
Daniel Bragança,Sporting Clube de Portugal,2,92.75,92.75,93.9,91.6,1.12
Martim Fernandes,FC Porto,2,92.2,92.2,94.0,90.4,1.12
Milot Rashica,Beşiktaş Jimnastik Kulübü,2,91.65,91.65,98.0,85.3,1.12
Sikou Niakaté,Sporting Braga,2,91.1,91.1,96.5,85.7,1.12
Sota Kitano,FC Red Bull Salzburg,2,90.8,90.8,99.6,82.0,1.12
Stefan Savić,Trabzonspor Kulübü,2,89.65,89.65,100.0,79.3,1.12
Paul Onuachu,Trabzonspor Kulübü,2,88.55,88.55,92.4,84.7,1.12
Anthony Nwakaeme,Trabzonspor Kulübü,2,88.05,88.05,89.5,86.6,1.12
Kochorashvili,Sporting Clube de Portugal,2,87.8,87.8,94.9,80.7,1.12
Bruma,SL Benfica,2,87.8,87.8,89.5,86.1,1.12
Connor Barron,Rangers FC,2,87.75,87.75,100.0,75.5,1.12
Emmanuel Fernandez,Rangers FC,2,87.25,87.25,88.3,86.2,1.12
Rodrigo Mora,FC Porto,2,87.2,87.2,94.4,80.0,1.12
Archibald Brown,Fenerbahçe Spor Kulübü,2,86.4,86.4,88.6,84.2,1.12
Ahmed Kutucu,Galatasaray Spor Kulübü,2,84.85,84.85,91.7,78.0,1.12
Gianluca Prestianni,SL Benfica,2,84.5,84.5,88.1,80.9,1.12
Dodi Lukébakio,SL Benfica,2,84.45,84.45,89.3,79.6,1.12
Felipe Augusto,Trabzonspor Kulübü,2,82.35,82.35,82.9,81.8,1.12
Adrian Barišić,Sporting Braga,2,77.15,77.15,94.9,59.4,1.12
William,FC Porto,2,75.8,75.8,78.5,73.1,1.12
Yorbe Vertessen,FC Red Bull Salzburg,2,74.6,74.6,75.4,73.8,1.12
Djeidi Gassama,Rangers FC,2,73.95,73.95,79.7,68.2,1.12
Samy Merheg,Sporting Braga,2,48.95,48.95,65.5,32.4,1.12
Alan Varela,FC Porto,1,100.0,100.0,100.0,100.0,0.56
Beni,Vitória Guimarães SC,1,100.0,100.0,100.0,100.0,0.56
Derek Cornelius,Rangers FC,1,100.0,100.0,100.0,100.0,0.56
Edin Višća,Trabzonspor Kulübü,1,100.0,100.0,100.0,100.0,0.56
Edson Álvarez,Fenerbahçe Spor Kulübü,1,100.0,100.0,100.0,100.0,0.56
Jannik Schuster,FC Red Bull Salzburg,1,100.0,100.0,100.0,100.0,0.56
John Mellberg,FC Red Bull Salzburg,1,100.0,100.0,100.0,100.0,0.56
Leandro Barreiro,SL Benfica,1,100.0,100.0,100.0,100.0,0.56
Mauro Icardi,Galatasaray Spor Kulübü,1,100.0,100.0,100.0,100.0,0.56
Soumaïla Diabaté,FC Red Bull Salzburg,1,100.0,100.0,100.0,100.0,0.56
Tiago Djaló,Beşiktaş Jimnastik Kulübü,1,100.0,100.0,100.0,100.0,0.56
Nehuen Pérez,FC Porto,1,99.7,99.7,99.7,99.7,0.56
Tuur Rommens,Rangers FC,1,98.6,98.6,98.6,98.6,0.56
Wilfred Ndidi,Beşiktaş Jimnastik Kulübü,1,97.2,97.2,97.2,97.2,0.56
Ozan Tufan,Trabzonspor Kulübü,1,97.1,97.1,97.1,97.1,0.56
Dominik Prpić,FC Porto,1,97.0,97.0,97.0,97.0,0.56
Diogo Spencer,SL Benfica,1,96.5,96.5,96.5,96.5,0.56
Samu Omorodion,FC Porto,1,95.6,95.6,95.6,95.6,0.56
Gonçalo Nogueira,Vitória Guimarães SC,1,95.2,95.2,95.2,95.2,0.56
Yáser Asprilla,Galatasaray Spor Kulübü,1,94.3,94.3,94.3,94.3,0.56
Emirhan Topçu,Beşiktaş Jimnastik Kulübü,1,93.4,93.4,93.4,93.4,0.56
Noah Saviolo,Vitória Guimarães SC,1,92.4,92.4,92.4,92.4,0.56
Mikey Moore,Rangers FC,1,92.0,92.0,92.0,92.0,0.56
Souleymane Faye,Sporting Clube de Portugal,1,91.2,91.2,91.2,91.2,0.56
Oskar Pietuszewski,FC Porto,1,90.8,90.8,90.8,90.8,0.56
Samuel Soares,SL Benfica,1,90.2,90.2,90.2,90.2,0.56
Ernest Muçi,Trabzonspor Kulübü,1,88.6,88.6,88.6,88.6,0.56
Francisco Moura,FC Porto,1,87.8,87.8,87.8,87.8,0.56
T. Strata,Vitória Guimarães SC,1,87.8,87.8,87.8,87.8,0.56
Ousmane Diomande,Sporting Clube de Portugal,1,87.7,87.7,87.7,87.7,0.56
Sebastian Tounekti,Celtic FC,1,87.4,87.4,87.4,87.4,0.56
Telmo Arcanjo,Vitória Guimarães SC,1,86.4,86.4,86.4,86.4,0.56
Michel-Ange Balikwisha,Celtic FC,1,85.9,85.9,85.9,85.9,0.56
Tim Jabol-Folcarelli,Trabzonspor Kulübü,1,84.2,84.2,84.2,84.2,0.56
Colby Donovan,Celtic FC,1,83.6,83.6,83.6,83.6,0.56
Yiğit Demir,Fenerbahçe Spor Kulübü,1,82.9,82.9,82.9,82.9,0.56
Edmund Baidoo,FC Red Bull Salzburg,1,82.7,82.7,82.7,82.7,0.56
Luuk de Jong,FC Porto,1,82.4,82.4,82.4,82.4,0.56
