GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score
GW 683,1,Extra MID,462.0,Rui Silva,Sporting Clube de Portugal,69.3,Eduardo Quaresma,Sporting Clube de Portugal,98.3,Fred,Fenerbahçe Spor Kulübü,99.5,Youssef Chermiti,Rangers FC,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,94.9
GW 683,2,Extra FWD,426.1,Diogo Costa,FC Porto,67.0,Gonçalo Inácio,Sporting Clube de Portugal,85.4,İsmail Yüksek,Fenerbahçe Spor Kulübü,89.8,Kerim-Sam Alajbegović,FC Red Bull Salzburg,92.3,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,FWD,91.6
GW 683,3,Extra MID,383.9,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,48.9,Jakub Kiwior,FC Porto,85.1,Morten Hjulmand,Sporting Clube de Portugal,84.0,Jota Silva,Beşiktaş Jimnastik Kulübü,86.2,Soumaïla Diabaté,FC Red Bull Salzburg,MID,79.7
GW 683,4,Extra DEF,358.3,Anatolii Trubin,SL Benfica,47.3,Tomás Araújo,SL Benfica,78.3,Junior Olaïtan,Beşiktaş Jimnastik Kulübü,76.4,Luis Suárez,Sporting Clube de Portugal,78.5,Alexander Bah,SL Benfica,DEF,77.8
GW 682,1,Extra MID,325.7,Jack Butland,Rangers FC,39.1,Auston Trusty,Celtic FC,71.7,Connor Barron,Rangers FC,75.5,Benjamin Nygren,Celtic FC,70.4,Thelonious Aasgaard,Rangers FC,MID,69.0
GW 682,2,Extra FWD,245.0,Viljami Sinisalo,Celtic FC,18.0,Kieran Tierney,Celtic FC,51.9,Mohammed Diomandé,Rangers FC,51.0,Kelechi Iheanacho,Celtic FC,62.2,Yang Hyun-Jun,Celtic FC,FWD,61.9
GW 682,3,Extra FWD,198.5,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Dujon Sterling,Rangers FC,49.9,Reo Hatate,Celtic FC,40.6,Daizen Maeda,Celtic FC,60.0,Mikey Moore,Rangers FC,FWD,48.0
GW 682,4,Extra FWD,176.2,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Emmanuel Fernandez,Rangers FC,45.7,Callum McGregor,Celtic FC,39.9,Youssef Chermiti,Rangers FC,46.4,Sebastian Tounekti,Celtic FC,FWD,44.2
GW 681,1,Extra MID,418.9,Mert Günok,Fenerbahçe Spor Kulübü,67.2,Yiğit Demir,Fenerbahçe Spor Kulübü,82.9,Fred,Fenerbahçe Spor Kulübü,96.6,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,85.9,Oleksandr Zubkov,Trabzonspor Kulübü,MID,86.3
GW 681,2,Extra MID,375.2,Charles,Vitória Guimarães SC,51.4,Jannik Schuster,FC Red Bull Salzburg,81.2,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,79.9,Andreas Schjelderup,SL Benfica,83.6,Rafa,SL Benfica,MID,79.1
GW 681,3,Extra FWD,355.5,Lukáš Horníček,Sporting Braga,48.4,Kieran Tierney,Celtic FC,76.4,Ozan Tufan,Trabzonspor Kulübü,76.0,Pau Víctor,Sporting Braga,78.2,Barış Yılmaz,Galatasaray Spor Kulübü,FWD,76.5
GW 681,4,Extra DEF,342.9,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,47.8,Archibald Brown,Fenerbahçe Spor Kulübü,75.5,Maho Dorgeles,Sporting Braga,69.6,Trincão,Sporting Clube de Portugal,75.8,António Silva,SL Benfica,DEF,74.2
GW 680,1,Extra MID,273.9,Lukáš Horníček,Sporting Braga,38.7,Víctor Gómez,Sporting Braga,63.0,João Moutinho,Sporting Braga,50.5,Pau Víctor,Sporting Braga,76.1,Vítor Carvalho,Sporting Braga,MID,45.6
GW 680,2,Extra MID,138.8,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Gustaf Lagerbielke,Sporting Braga,32.9,Jean-Baptiste Gorby,Sporting Braga,37.5,Gabri Martínez,Sporting Braga,32.7,Ege Tıknaz,Sporting Braga,MID,35.7
GW 680,3,Extra MID,132.8,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Paulo Oliveira,Sporting Braga,30.8,Rodrigo Zalazar,Sporting Braga,35.2,Fran Navarro,Sporting Braga,32.4,Gabriel Moscardo,Sporting Braga,MID,34.4
GW 680,4,Extra DEF,13.3,Alaa Bellaarouch,Sporting Braga,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Maho Dorgeles,Sporting Braga,13.3,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 679,1,Extra DEF,462.8,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,82.6,Jan Bednarek,FC Porto,100.0,Daniel Bragança,Sporting Clube de Portugal,93.9,Luis Suárez,Sporting Clube de Portugal,86.3,Tiago Djaló,Beşiktaş Jimnastik Kulübü,DEF,100.0
GW 679,2,Extra MID,424.1,Diogo Costa,FC Porto,75.0,Alistair Johnston,Celtic FC,83.9,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,93.5,Andreas Schjelderup,SL Benfica,82.9,Fred,Fenerbahçe Spor Kulübü,MID,88.8
GW 679,3,Extra MID,376.6,Lukáš Horníček,Sporting Braga,51.6,Gonçalo Inácio,Sporting Clube de Portugal,80.4,Talisca,Fenerbahçe Spor Kulübü,87.3,Yunus Akgün,Galatasaray Spor Kulübü,78.0,Maximiliano Araújo,Sporting Clube de Portugal,MID,79.3
GW 679,4,Extra MID,342.8,Rui Silva,Sporting Clube de Portugal,50.7,Mathias Løvik,Trabzonspor Kulübü,68.9,Maho Dorgeles,Sporting Braga,78.7,Jota Silva,Beşiktaş Jimnastik Kulübü,71.0,Pedro Gonçalves,Sporting Clube de Portugal,MID,73.5
GW 678,1,Extra MID,375.7,Rui Silva,Sporting Clube de Portugal,62.1,Víctor Gómez,Sporting Braga,84.2,Ege Tıknaz,Sporting Braga,84.4,Luis Suárez,Sporting Clube de Portugal,72.2,Maho Dorgeles,Sporting Braga,MID,72.8
GW 678,2,Extra MID,256.7,Lukáš Horníček,Sporting Braga,42.4,Gustaf Lagerbielke,Sporting Braga,54.3,Daniel Bragança,Sporting Clube de Portugal,58.3,Pau Víctor,Sporting Braga,47.4,Pedro Gonçalves,Sporting Clube de Portugal,MID,54.3
GW 678,3,Extra MID,191.4,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Zeno Debast,Sporting Clube de Portugal,42.7,Hidemasa Morita,Sporting Clube de Portugal,53.1,Trincão,Sporting Clube de Portugal,43.7,Maximiliano Araújo,Sporting Clube de Portugal,MID,51.9
GW 678,4,Extra MID,180.3,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Paulo Oliveira,Sporting Braga,40.7,João Moutinho,Sporting Braga,51.3,Ricardo Horta,Sporting Braga,37.6,Geovany Quenda,Sporting Clube de Portugal,MID,50.7
GW 677,1,Extra MID,439.0,Charles,Vitória Guimarães SC,78.0,Zeno Debast,Sporting Clube de Portugal,85.0,Lucas Torreira,Galatasaray Spor Kulübü,92.8,Oskar Pietuszewski,FC Porto,90.8,Richard Ríos,SL Benfica,MID,92.4
GW 677,2,Extra DEF,421.4,Devis Vásquez,Beşiktaş Jimnastik Kulübü,76.9,António Silva,SL Benfica,83.3,Leandro Barreiro,SL Benfica,89.2,Daizen Maeda,Celtic FC,90.7,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,DEF,81.3
GW 677,3,Extra DEF,374.1,Uğurcan Çakır,Galatasaray Spor Kulübü,63.8,Óscar Rivas,Vitória Guimarães SC,79.6,Nicolas Raskin,Rangers FC,76.1,Franjo Ivanović,SL Benfica,75.7,Alberto Costa,FC Porto,DEF,78.9
GW 677,4,Extra MID,346.5,Rui Silva,Sporting Clube de Portugal,48.1,Thiago Silva,FC Porto,74.1,Mario Lemina,Galatasaray Spor Kulübü,75.5,Youssef Chermiti,Rangers FC,73.8,Mohammed Diomandé,Rangers FC,MID,75.0
GW 676,1,Extra DEF,396.2,Lukáš Horníček,Sporting Braga,66.6,Jannik Schuster,FC Red Bull Salzburg,100.0,Ege Tıknaz,Sporting Braga,81.1,Yorbe Vertessen,FC Red Bull Salzburg,73.8,Gustaf Lagerbielke,Sporting Braga,DEF,74.7
GW 676,2,Extra DEF,286.4,Alexander Schlager,FC Red Bull Salzburg,33.4,Frans Krätzig,FC Red Bull Salzburg,67.3,Maurits Kjærgaard,FC Red Bull Salzburg,64.8,Pau Víctor,Sporting Braga,60.0,Tim Drexler,FC Red Bull Salzburg,DEF,60.9
GW 676,3,Extra MID,221.2,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Víctor Gómez,Sporting Braga,52.5,Mads Bidstrup,FC Red Bull Salzburg,60.1,Ricardo Horta,Sporting Braga,50.1,João Moutinho,Sporting Braga,MID,58.5
GW 676,4,Extra MID,187.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Paulo Oliveira,Sporting Braga,50.6,Jean-Baptiste Gorby,Sporting Braga,48.7,Kerim-Sam Alajbegović,FC Red Bull Salzburg,39.4,Gabriel Moscardo,Sporting Braga,MID,48.3
GW 675,1,Extra DEF,418.1,Anatolii Trubin,SL Benfica,82.7,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,88.5,Christ Inao Oulaï,Trabzonspor Kulübü,72.5,Yunus Akgün,Galatasaray Spor Kulübü,86.9,Jan Bednarek,FC Porto,DEF,87.5
GW 675,2,Extra FWD,394.1,Charles,Vitória Guimarães SC,79.9,Gonçalo Inácio,Sporting Clube de Portugal,72.6,Talisca,Fenerbahçe Spor Kulübü,72.3,Kerim-Sam Alajbegović,FC Red Bull Salzburg,86.7,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,FWD,82.6
GW 675,3,Extra FWD,364.4,Diogo Costa,FC Porto,70.9,Nelson Semedo,Fenerbahçe Spor Kulübü,69.2,Gabri Veiga,FC Porto,71.6,Mustafa Eskihellaç,Trabzonspor Kulübü,77.8,Sota Kitano,FC Red Bull Salzburg,FWD,74.9
GW 675,4,Extra FWD,328.8,Alexander Schlager,FC Red Bull Salzburg,44.7,João Mendes,Vitória Guimarães SC,69.1,Gabriel Sara,Galatasaray Spor Kulübü,70.0,Ricardo Horta,Sporting Braga,73.4,Gustavo Silva,Vitória Guimarães SC,FWD,71.6
GW 674,1,Extra FWD,345.0,Rui Silva,Sporting Clube de Portugal,67.8,Eduardo Quaresma,Sporting Clube de Portugal,68.2,Ege Tıknaz,Sporting Braga,65.6,Ricardo Horta,Sporting Braga,72.0,Pau Víctor,Sporting Braga,FWD,71.4
GW 674,2,Extra MID,291.6,Diogo Costa,FC Porto,48.4,Jakub Kiwior,FC Porto,64.0,Vítor Carvalho,Sporting Braga,64.6,Gabri Martínez,Sporting Braga,51.4,Morten Hjulmand,Sporting Clube de Portugal,MID,63.2
GW 674,3,Extra DEF,272.0,Lukáš Horníček,Sporting Braga,42.2,Gonçalo Inácio,Sporting Clube de Portugal,61.9,Seko Fofana,FC Porto,57.1,Roger Fernandes,Sporting Braga,50.8,Víctor Gómez,Sporting Braga,DEF,60.0
GW 674,4,Extra DEF,188.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Georgios Vagiannidis,Sporting Clube de Portugal,51.1,João Simões,Sporting Clube de Portugal,47.7,Deniz Gül,FC Porto,39.4,Gustaf Lagerbielke,Sporting Braga,DEF,49.8
GW 673,1,Extra MID,443.8,Anatolii Trubin,SL Benfica,79.6,Nicolás Otamendi,SL Benfica,90.5,Talisca,Fenerbahçe Spor Kulübü,92.9,Gianluca Prestianni,SL Benfica,88.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,92.7
GW 673,2,Extra MID,427.6,Lukáš Horníček,Sporting Braga,78.6,Kieran Tierney,Celtic FC,89.7,Nicolas Raskin,Rangers FC,88.6,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,82.1,Victor Froholdt,FC Porto,MID,88.6
GW 673,3,Extra DEF,395.9,Ederson,Fenerbahçe Spor Kulübü,75.8,Ismail Jakobs,Galatasaray Spor Kulübü,81.5,N'Golo Kanté,Fenerbahçe Spor Kulübü,78.2,Nene Dorgeles,Fenerbahçe Spor Kulübü,80.5,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,79.9
GW 673,4,Extra FWD,387.4,Rui Silva,Sporting Clube de Portugal,75.1,Zaidu,FC Porto,78.1,Junior Olaïtan,Beşiktaş Jimnastik Kulübü,76.3,Youssef Chermiti,Rangers FC,79.6,Bojan Miovski,Rangers FC,FWD,78.3
GW 672,1,Extra MID,354.3,Uğurcan Çakır,Galatasaray Spor Kulübü,56.6,Sacha Boey,Galatasaray Spor Kulübü,68.9,Florian Grillitsch,Sporting Braga,78.6,William,FC Porto,73.1,Gabri Veiga,FC Porto,MID,77.1
GW 672,2,Extra MID,316.5,Lukáš Horníček,Sporting Braga,51.2,Zaidu,FC Porto,58.3,Mario Lemina,Galatasaray Spor Kulübü,75.1,Leroy Sané,Galatasaray Spor Kulübü,66.0,Diego Rodrigues,Sporting Braga,MID,65.9
GW 672,3,Extra DEF,277.9,Rui Silva,Sporting Clube de Portugal,43.2,Thiago Silva,FC Porto,57.4,Gabriel Sara,Galatasaray Spor Kulübü,62.4,Barış Yılmaz,Galatasaray Spor Kulübü,60.0,Jan Bednarek,FC Porto,DEF,54.9
GW 672,4,Extra MID,249.8,Diogo Costa,FC Porto,39.3,Davinson Sánchez,Galatasaray Spor Kulübü,54.3,Seko Fofana,FC Porto,54.6,Pau Víctor,Sporting Braga,51.4,Pablo Rosario,FC Porto,MID,50.2
GW 671,1,Extra DEF,440.2,Lukáš Horníček,Sporting Braga,65.3,Eduardo Quaresma,Sporting Clube de Portugal,100.0,Gonçalo Nogueira,Vitória Guimarães SC,95.2,Yang Hyun-Jun,Celtic FC,86.6,Davinson Sánchez,Galatasaray Spor Kulübü,DEF,93.1
GW 671,2,Extra MID,411.0,Ederson,Fenerbahçe Spor Kulübü,64.3,Archibald Brown,Fenerbahçe Spor Kulübü,88.2,Geny Catamo,Sporting Clube de Portugal,86.9,Sota Kitano,FC Red Bull Salzburg,85.5,Hidemasa Morita,Sporting Clube de Portugal,MID,86.1
GW 671,3,Extra FWD,389.6,Charles,Vitória Guimarães SC,60.0,Chibuike Nwaiwu,Trabzonspor Kulübü,82.6,N'Golo Kanté,Fenerbahçe Spor Kulübü,81.4,Trincão,Sporting Clube de Portugal,82.9,Oumar Camara,Vitória Guimarães SC,FWD,82.7
GW 671,4,Extra DEF,373.6,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,48.7,Nelson Semedo,Fenerbahçe Spor Kulübü,82.4,Richard Ríos,SL Benfica,80.9,Djeidi Gassama,Rangers FC,81.1,Wagner Pina,Trabzonspor Kulübü,DEF,80.5
GW 670,1,Extra DEF,396.6,Uğurcan Çakır,Galatasaray Spor Kulübü,65.2,Nicolás Otamendi,SL Benfica,93.4,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,95.8,Trincão,Sporting Clube de Portugal,67.3,John Souttar,Rangers FC,DEF,74.9
GW 670,2,Extra MID,314.0,Liam Kelly,Rangers FC,34.0,Tomás Araújo,SL Benfica,73.4,Leandro Barreiro,SL Benfica,73.0,Dodi Lukébakio,SL Benfica,62.3,İsmail Yüksek,Fenerbahçe Spor Kulübü,MID,71.3
GW 670,3,Extra DEF,267.2,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Georgios Vagiannidis,Sporting Clube de Portugal,70.0,Morten Hjulmand,Sporting Clube de Portugal,67.8,Benjamin Nygren,Celtic FC,61.7,Amar Dedić,SL Benfica,DEF,67.7
